Service Type,Number of Firms Offering,Market Saturation Level,Growth Potential
Unconscious Bias Training,58,Very High,Low - Commoditized
Inclusive Leadership Development,52,Very High,Low-Medium - Differentiation needed
DEI Strategy Consulting,48,High,Medium - Demand sustained
Anti-Racism Training,42,High,Medium - Post-2020 demand plateauing
Cultural Competency Training,38,High,Medium - Immigration-driven
Indigenous Awareness / Reconciliation,28,Medium-High,High - TRC and UNDRIP driving growth
Equity Audits / Assessments,32,Medium-High,Medium-High - Regulatory driven
LGBTQ2S+ Inclusion,22,Medium,Medium - Steady demand
Pay Equity Analysis,18,Medium,Very High - Legislative mandates expanding
Inclusive Hiring / Recruitment,30,Medium-High,High - Talent competition driving demand
Employee Resource Group Strategy,14,Low-Medium,Very High - Underserved niche
DEI Measurement / Analytics,12,Low-Medium,Very High - Critical unmet need
Accessibility / Disability Inclusion,16,Low-Medium,Very High - Legislation expanding
Board Diversity Advisory,12,Low,High - Governance mandates growing
DEI Technology / SaaS Platforms,8,Low,Very High - Massive growth potential
Mental Health Equity / Inclusive Wellness,8,Low,Very High - Emerging category
Health Equity Consulting,6,Very Low,Very High - Healthcare equity mandates
Inclusive Product / Service Design,6,Very Low,Very High - Innovation opportunity
Neurodiversity Programs,5,Very Low,Very High - Largely untapped
DEI in Skilled Trades / Construction,4,Very Low,Very High - Infrastructure spending
AI Ethics & Inclusive AI,4,Very Low,Very High - Regulatory frontier
Behavioral Science for Inclusion,3,Very Low,Very High - Differentiated approach
"Sector-Specific DEI (Energy, Mining)",4,Very Low,High - ESG requirements
GBA+ / Gender Mainstreaming,6,Very Low,Medium-High - Federal requirement
